DBMS,Rank_Jul-2024,Rank_Jun-2024,Rank_Jul-2023,Database Model,Score_Jul-2024,Score_Jun-2024,Score_Jul-2023,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only,initial_release_recalc,current_release_recalc,license_recalc,cloud_based_only_recalc
Axibase,293.0,282.0,292.0,Time Series,0.27,-0.07,-0.22,https://db-engines.com/en/system/Axibase,,Axibase Corporation,Scalable TimeSeries DBMS based on HBase with integrated rule engine and visualization,2013.0,15585,commercial,"Community Edition (single node) is free, Enterprise Edition (distributed) is paid",no,2013,1558,N,N
Databend,294.0,283.0,280.0,Relational,0.27,-0.07,-0.30,https://db-engines.com/en/system/Databend,,Databend Labs,"An open-source, elastic, and workload-aware cloud data warehouse designed to meet businesses' massive-scale analytics needs at low cost and with low complexity",2021.0,"1.0.59, April 2023",Open Source,Apache Version 2.0,no,2021,2023,Y,N
Jade,295.0,311.0,269.0,Object oriented,0.26,+0.00,-0.40,https://db-engines.com/en/system/Jade,,,,1996.0,,commercial,,no,1996,,N,N
OpenQM,296.0,284.0,273.0,Multivalue,0.26,-0.08,-0.36,https://db-engines.com/en/system/OpenQM,,"Rocket Software, originally Martin Phillips","QpenQM is a high-performance, self-tuning, multi-value DBMS",1993.0,3.4-12,Open Source,"GPLv2, extended commercial license available",no,1993,,Y,N
Brytlyt,297.0,276.0,304.0,Relational,0.26,-0.11,-0.15,https://db-engines.com/en/system/Brytlyt,,Brytlyt,"Scalable GPU-accelerated,RDBMS,for very fast analytic and streaming workloads, leveraging,PostgreSQL",2016.0,"5.0, August 2023",commercial,,no,2016,2023,N,N
Lovefield,298.0,286.0,278.0,Relational,0.25,-0.09,-0.35,https://db-engines.com/en/system/Lovefield,,Google,"Embeddable,relational database,for web apps written in pure JavaScript",2014.0,"2.1.12, February 2017",Open Source,Apache 2.0,no,2014,2017,Y,N
Immudb,299.0,295.0,336.0,"Key-value, Multi-model",0.24,-0.07,-0.04,https://db-engines.com/en/system/Immudb,"Key-value store,Relational DBMS",Codenotary,An open source immutable (append-only) database with cryptographic verification which makes it tamper-resistant and fully auditable.,2020.0,"1.2.3, April 2022",Open Source,Apache Version 2.0,no,2020,2022,Y,N
Actian FastObjects,300.0,323.0,288.0,Object oriented,0.23,+0.03,-0.31,https://db-engines.com/en/system/Actian+FastObjects,,Actian,,,,commercial,,no,,,N,N
FlockDB,301.0,318.0,299.0,Graph,0.23,+0.01,-0.22,https://db-engines.com/en/system/FlockDB,,Twitter,,2010.0,"1.8.5, February 2012",Open Source,Apache Version 2,no,2010,2012,Y,N
Kyoto Tycoon,302.0,314.0,353.0,Key-value,0.23,-0.02,+0.00,https://db-engines.com/en/system/Kyoto+Tycoon,,,,2009.0,,Open Source,GPL,no,2009,,Y,N
Manticore Search,303.0,302.0,359.0,"Search engine, Multi-model",0.23,-0.06,+0.03,https://db-engines.com/en/system/Manticore+Search,"Search engine,Time Series DBMS",Manticore Software,"Multi-storage database for search, including full-text search.",2017.0,"6.0, February 2023",Open Source,GPL version 2,no,2017,2023,Y,N
Tibco ComputeDB,304.0,321.0,334.0,Relational,0.23,+0.02,-0.05,https://db-engines.com/en/system/Tibco+ComputeDB,,Tibco,Distributed in-memory data store for real-time operational analytics based on Apache Spark,2015.0,,Open Source,Apache 2.0,no,2015,,Y,N
AnzoGraph DB,305.0,303.0,324.0,Multi-model,0.22,-0.07,-0.10,https://db-engines.com/en/system/AnzoGraph+DB,"Graph DBMS,RDF store",Cambridge Semantics,"Scalable graph database built for online analytics and data harmonization with MPP scaling, high-performance analytical algorithms and reasoning, and virtualization",2018.0,"2.3, January 2021",commercial,free trial version available,no,2018,2021,N,N
PieCloudDB,306.0,289.0,358.0,Relational,0.22,-0.10,+0.02,https://db-engines.com/en/system/PieCloudDB,,OpenPie,A cloud-native analytic database platform with new technologoy for elastic MPP,,"2.1, January 2023",commercial,,yes,,2023,N,Y
ElevateDB,307.0,319.0,307.0,Relational,0.21,-0.01,-0.18,https://db-engines.com/en/system/ElevateDB,,"Elevate Software, Inc.",RDBMS designed to be included in a pre-packaged database application,2006.0,,commercial,,no,2006,,N,N
YottaDB,308.0,306.0,,"Key-value, Multi-model",0.21,-0.07,,https://db-engines.com/en/system/YottaDB,"Key-value store,Relational DBMS","YottaDB, LLC","A fast and solid embedded,Key-value store",2001.0,,Open Source,AGPL 3.0,no,2001,,Y,N
Alibaba Cloud TSDB,309.0,301.0,351.0,Time Series,0.21,-0.08,-0.02,https://db-engines.com/en/system/Alibaba+Cloud+TSDB,,Alibaba,"A stable, reliable, and cost-effective online high-performance time series database service",,,commercial,,yes,,,N,Y
FeatureBase,310.0,292.0,317.0,Relational,0.21,-0.11,-0.15,https://db-engines.com/en/system/FeatureBase,,Molecula and Pilosa Open Source Contributors,"Real-time database platform that powers real-time analytics and machine learning applications by simultaneously executing low-latency, high-throughput, and highly concurrent workloads.",2017.0,"2022, May 2022",commercial,,no,2017,2022,N,N
Alibaba Cloud Table Store,311.0,297.0,330.0,Wide column,0.2,-0.11,-0.10,https://db-engines.com/en/system/Alibaba+Cloud+Table+Store,,Alibaba,"A fully managed,Wide Column Store,for large quantities of semi-structured data with real-time access",2016.0,,commercial,,yes,2016,,N,Y
Speedb,312.0,310.0,311.0,Key-value,0.2,-0.07,-0.18,https://db-engines.com/en/system/Speedb,,Speedb,"An embeddable, high performance key-value store optimized for write-intensive workloads, which can be used as a drop-in replacement for,RocksDB",2020.0,,Open Source,Apache Version 2.0; commercial license available,no,2020,,Y,N
RedStore,313.0,327.0,309.0,RDF,0.2,0.00,-0.18,https://db-engines.com/en/system/RedStore,,,RedStore is a lightweight RDF triplestore,2009.0,,Open Source,GPLv3,no,2009,,Y,N
RDFox,314.0,300.0,325.0,Multi-model,0.19,-0.10,-0.13,https://db-engines.com/en/system/RDFox,"Graph DBMS,RDF store,Relational DBMS",Oxford Semantic Technologies,High performance knowledge graph and semantic reasoning engine,2017.0,"6.0, Septermber 2022",commercial,,no,2017,2022,N,N
MyScale,315.0,328.0,361.0,Multi-model,0.19,-0.01,+0.00,https://db-engines.com/en/system/MyScale,"Relational DBMS,Vector DBMS",,"Built on,Clickhouse,, MyScale integrates vector search and SQL analytics and is used for large scale AI applications",2022.0,,commercial,,yes,2022,,N,Y
Faircom DB,316.0,304.0,344.0,Multi-model,0.19,-0.10,-0.06,https://db-engines.com/en/system/Faircom+DB,"Key-value store,Relational DBMS",FairCom Corporation,Native high-speed multi-model DBMS for relational and key-value store data simultaneously accessible through SQL and NoSQL APIs.,1979.0,"V13, July 2024",commercial,"Restricted, free version available",no,1979,2024,N,N
AgensGraph,317.0,315.0,392.0,Multi-model,0.19,-0.05,+0.12,https://db-engines.com/en/system/AgensGraph,"Graph DBMS,Relational DBMS",Bitnine Global Inc.,"Multi-model database supporting relational and graph data models and built upon,PostgreSQL",2016.0,"2.1, December 2018",Open Source,Apache License 2.0,no,2016,2018,Y,N
EJDB,318.0,296.0,294.0,Document,0.19,-0.12,-0.30,https://db-engines.com/en/system/EJDB,,Softmotions,Embeddable document-store database library with JSON representation of queries (in MongoDB style),2012.0,,Open Source,GPLv2,no,2012,,Y,N
HyperGraphDB,319.0,326.0,282.0,Graph,0.18,-0.02,-0.38,https://db-engines.com/en/system/HyperGraphDB,,,,2007.0,,Open Source,L-GPL,no,2007,,Y,N
TerminusDB,320.0,316.0,323.0,"Graph, Multi-model",0.18,-0.06,-0.16,https://db-engines.com/en/system/TerminusDB,"Graph DBMS,Document store,RDF store",DataChemist Ltd.,"Scalable,Graph Database,platform making enterprise data available by exploiting inferred entities and relationships",2018.0,"11.0.0, January 2023",Open Source,GPL V3,no,2018,2023,Y,N
TransLattice,321.0,333.0,313.0,Relational,0.17,0.00,-0.20,https://db-engines.com/en/system/TransLattice,,,,2007.0,,commercial,,no,2007,,N,N
Valentina Server,322.0,325.0,356.0,Relational,0.17,-0.04,-0.04,https://db-engines.com/en/system/Valentina+Server,,Paradigma Software,Object-relational database and reports server,1999.0,5.7.5,commercial,,no,1999,,N,N
NEventStore,323.0,336.0,315.0,Event,0.16,-0.01,-0.20,https://db-engines.com/en/system/NEventStore,,,A persistence agnostic Event Store for .NET,2011.0,,Open Source,MIT-License,no,2011,,Y,N
Riak TS,324.0,307.0,342.0,Time Series,0.16,-0.12,-0.11,https://db-engines.com/en/system/Riak+TS,,"Open Source, formerly Basho Technologies","Riak TS is a distributed NoSQL database optimized for time series data and based on,Riak KV",2015.0,"3.0.0, September 2022",Open Source,,no,2015,2022,Y,N
Tokyo Tyrant,325.0,331.0,301.0,Key-value,0.16,-0.02,-0.27,https://db-engines.com/en/system/Tokyo+Tyrant,,,,2007.0,,Open Source,GPL,no,2007,,Y,N
IBM Db2 Event Store,326.0,309.0,366.0,Multi-model,0.15,-0.11,-0.02,https://db-engines.com/en/system/IBM+Db2+Event+Store,"Event Store,Time Series DBMS",IBM,Distributed Event Store optimized for Internet of Things use cases,2017.0,2.0,commercial,free developer edition available,no,2017,,N,N
GraphBase,327.0,340.0,327.0,Graph,0.15,+0.00,-0.16,https://db-engines.com/en/system/GraphBase,,,,,,commercial,,no,,,N,N
EsgynDB,328.0,312.0,354.0,Relational,0.14,-0.10,-0.07,https://db-engines.com/en/system/EsgynDB,,Esgyn,"Enterprise-class SQL-on-Hadoop solution, powered by,Apache Trafodion",2015.0,,commercial,,no,2015,,N,N
XtremeData,329.0,343.0,319.0,Relational,0.14,+0.00,-0.21,https://db-engines.com/en/system/XtremeData,,,,,,commercial,limited edition free,no,,,N,N
Apache HugeGraph,330.0,335.0,322.0,Graph,0.14,-0.03,-0.21,https://db-engines.com/en/system/Apache+HugeGraph,,Baidu,"A fast-speed and highly-scalable,Graph DBMS",2018.0,0.9,Open Source,Apache Version 2.0,no,2018,,Y,N
Skytable,331.0,374.0,328.0,Key-value,0.14,+0.06,-0.17,https://db-engines.com/en/system/Skytable,,,"A free and open-source,Key-value Store,that aims to provide flexible data modeling at scale. Formerly also know as TerrabaseDB.",2020.0,,Open Source,GNU AGPL 3.0,no,2020,,Y,N
BigObject,332.0,329.0,352.0,Relational,0.13,-0.06,-0.09,https://db-engines.com/en/system/BigObject,,"BigObject, Inc.",Analytic DBMS for real-time computations and queries,2015.0,,commercial,free community edition available,no,2015,,N,N
CubicWeb,333.0,347.0,305.0,RDF,0.13,+0.01,-0.28,https://db-engines.com/en/system/CubicWeb,,,,2001.0,"3.30.0, March 2021",Open Source,L-GPL,no,2001,2021,Y,N
YTsaurus,334.0,324.0,,Multi-model,0.13,-0.07,,https://db-engines.com/en/system/YTsaurus,"Document store,Key-value store",Yandex,YTsaurus is an open source platform for distributed storage and processing.,2023.0,,Open Source,"Apache License, Version 2.0",no,2023,,Y,N
Actian PSQL,335.0,353.0,314.0,Relational,0.13,+0.01,-0.24,https://db-engines.com/en/system/Actian+PSQL,,,RDBMS used for embedded databases,1982.0,"v15 SP2 (15.20), August 2021",commercial,,no,1982,2021,N,N
Ultipa,336.0,330.0,318.0,Graph,0.13,-0.06,-0.23,https://db-engines.com/en/system/Ultipa,,Ultipa,"High performance,Graph DBMS,supporting HTAP high availability cluster deployment",2019.0,,commercial,,no,2019,,N,N
XTDB,337.0,332.0,375.0,Document,0.12,-0.06,-0.01,https://db-engines.com/en/system/XTDB,,Juxt Ltd.,A general purpose database with bitemporal SQL and Datalog and graph queries,2019.0,"1.19, September 2021",Open Source,MIT License,no,2019,2021,Y,N
Badger,338.0,320.0,381.0,Key-value,0.12,-0.10,0.00,https://db-engines.com/en/system/Badger,,DGraph Labs,"An embeddable, persistent, simple and fast,Key-Value Store,, written purely in Go.",2017.0,,Open Source,Apache 2.0,no,2017,,Y,N
Mulgara,339.0,352.0,296.0,RDF,0.11,0.00,-0.37,https://db-engines.com/en/system/Mulgara,,,,2006.0,"2.1.13, January 2012",Open Source,Apache Version 2,no,2006,2012,Y,N
AntDB,340.0,317.0,321.0,Relational,0.1,-0.13,-0.24,https://db-engines.com/en/system/AntDB,,AsiaInfo Technologies Limited,"A scalable, multi-tenant, MPP-architectured,RDBMS,for OLTP and OLAP operations, highly compatible with,Oracle",,,commercial,,no,,,N,N
Quasardb,341.0,322.0,339.0,Time Series,0.1,-0.11,-0.17,https://db-engines.com/en/system/Quasardb,,quasardb,"Distributed, high-performance timeseries database",2009.0,"3.14.1, January 2024",commercial,"Free community edition, Non-profit organizations and non-commercial usage are eligible for free licenses",no,2009,2024,N,N
Sparksee,341.0,349.0,338.0,Graph,0.1,-0.02,-0.17,https://db-engines.com/en/system/Sparksee,,,,2008.0,"v6.0, 2021",commercial,,no,2008,2021,N,N
Bangdb,343.0,338.0,335.0,Multi-model,0.09,-0.07,-0.19,https://db-engines.com/en/system/Bangdb,"Document store,Graph DBMS,Time Series DBMS,Spatial DBMS","Sachin Sinha, BangDB","Converged and high performance database for device data, events, time series, document and graph",2012.0,"BangDB 2.0, October 2021",Open Source,BSD 3,no,2012,2021,Y,N
Warp 10,344.0,344.0,391.0,Time Series,0.07,-0.07,+0.00,https://db-engines.com/en/system/Warp+10,,SenX,"TimeSeries DBMS specialized on timestamped geo data based on,LevelDB,or HBase",2015.0,,Open Source,Apache License 2.0,no,2015,,Y,N
Exorbyte,345.0,379.0,347.0,Search engine,0.07,0.00,-0.17,https://db-engines.com/en/system/Exorbyte,,,,2000.0,,commercial,,no,2000,,N,N
SiteWhere,346.0,383.0,349.0,Time Series,0.06,+0.01,-0.17,https://db-engines.com/en/system/SiteWhere,,SiteWhere,M2M integration platform for persisting/querying time series data,2010.0,,Open Source,Common Public Attribution License Version 1.0,no,2010,,Y,N
Blueflood,347.0,346.0,363.0,Time Series,0.06,-0.07,-0.12,https://db-engines.com/en/system/Blueflood,,Rackspace,Scalable TimeSeries DBMS based on Cassandra,2013.0,,Open Source,Apache 2.0,no,2013,,Y,N
ScaleOut StateServer,348.0,382.0,397.0,Key-value,0.06,0.00,+0.04,https://db-engines.com/en/system/ScaleOut+StateServer,,,,2005.0,,commercial,,no,2005,,N,N
TinkerGraph,349.0,345.0,332.0,Graph,0.05,-0.08,-0.24,https://db-engines.com/en/system/TinkerGraph,,,"A lightweight, in-memory graph engine that serves as a reference implementation of the TinkerPop3 API",2009.0,,Open Source,Apache 2.0,no,2009,,Y,N
Elliptics,350.0,339.0,297.0,Key-value,0.05,-0.10,-0.42,https://db-engines.com/en/system/Elliptics,,,Distributed Key-value Store,2009.0,,Open Source,,no,2009,,Y,N
SenseiDB,351.0,385.0,355.0,Document,0.05,0.00,-0.16,https://db-engines.com/en/system/SenseiDB,,,,2010.0,,Open Source,Apache Version 2,no,2010,,Y,N
GreptimeDB,352.0,351.0,379.0,Time Series,0.05,-0.07,-0.08,https://db-engines.com/en/system/GreptimeDB,,Greptime Inc.,"An open source,Time Series DBMS,built for increased scalability, high performance and efficiency",2022.0,,Open Source,Apache Version 2.0,no,2022,,Y,N
Linter,353.0,350.0,302.0,"Relational, Multi-model",0.05,-0.07,-0.37,https://db-engines.com/en/system/Linter,"Relational DBMS,Spatial DBMS",relex.ru,RDBMS for high security requirements,1990.0,,commercial,,no,1990,,N,N
openGemini,354.0,361.0,,Time Series,0.05,-0.04,,https://db-engines.com/en/system/openGemini,,Huawei and openGemini community,"An open source distributed,Time Series DBMS,with high concurrency, high performance, and high scalability",2022.0,"1.1, July 2023",Open Source,Apache Version 2.0,no,2022,2023,Y,N
Transbase,355.0,334.0,290.0,Relational,0.04,-0.13,-0.47,https://db-engines.com/en/system/Transbase,,Transaction Software GmbH,"A resource-optimized, high-performance, universally applicable RDBMS",1987.0,"Transbase 8.3, 2022",commercial,free development license,no,1987,2022,N,N
Machbase Neo,356.0,337.0,337.0,Time Series,0.04,-0.12,-0.23,https://db-engines.com/en/system/Machbase+Neo,,Machbase,TimeSeries DBMS for AIoT and BigData,2013.0,"V8.0, August 2023",commercial,free test version available,no,2013,2023,N,N
gStore,357.0,342.0,,Multi-model,0.04,-0.10,,https://db-engines.com/en/system/gStore,"Graph DBMS,RDF store",,"A native,Graph DBMS,to store and maintain very large RDF datasets.",2016.0,"1.2, November 2023",Open Source,BSD,no,2016,2023,Y,N
OpenMLDB,358.0,359.0,,"Time Series, Multi-model",0.04,-0.05,,https://db-engines.com/en/system/OpenMLDB,"Time Series DBMS,Relational DBMS",4 Paradigm Inc.,An open-source machine learning database that provides a feature platform for training and inference,2020.0,2024-2 February 2024,Open Source,,no,2020,2024,Y,N
DataFS,359.0,360.0,389.0,"Object oriented, Multi-model",0.04,-0.05,-0.03,https://db-engines.com/en/system/DataFS,"Object oriented DBMS,Graph DBMS",Mobiland AG,All data is stored inside objects which are linked by so-called link attributes. Objects consist of classes which can be extended and de-extended at runtime. Graphs can be defined with a struct.,2018.0,"1.1.263, October 2022",commercial,,no,2018,2022,N,N
Tigris,360.0,363.0,362.0,Multi-model,0.04,-0.05,-0.15,https://db-engines.com/en/system/Tigris,"Document store,Key-value store,Search engine,Time Series DBMS","Tigris Data, Inc.","A horizontally scalable, ACID transactional, document database available both as a fully managed cloud service and for deployment on self-managed infrastructure",2022.0,,Open Source,Apache Version 2.0,no,2022,,Y,N
NosDB,361.0,389.0,384.0,Document,0.04,0.00,-0.08,https://db-engines.com/en/system/NosDB,,Alachisoft,"Scalable JSON based,document store,for .NET",2016.0,,Open Source,Professional and Enterprise Versions available,no,2016,,Y,N
WakandaDB,362.0,356.0,393.0,Object oriented,0.03,-0.07,+0.00,https://db-engines.com/en/system/WakandaDB,,Wakanda SAS,WakandaDB is embedded in a server that provides a REST API and a server-side javascript engine to access data,2012.0,"2.7.0 (April 29, 2019), April 2019",Open Source,"AGPLv3, extended commercial license available",no,2012,2019,Y,N
JethroData,363.0,391.0,382.0,Relational,0.03,0.00,-0.09,https://db-engines.com/en/system/JethroData,,JethroData,SQL Query Engine for Hadoop,2013.0,,commercial,,no,2013,,N,N
STSdb,363.0,357.0,312.0,Key-value,0.03,-0.07,-0.34,https://db-engines.com/en/system/STSdb,,STS Soft SC,Key-Value Store with special method for indexing,2011.0,"4.0.8, September 2015",Open Source,"GPLv2, commercial license available",no,2011,2015,Y,N
Dydra,365.0,393.0,331.0,RDF,0.02,0.00,-0.27,https://db-engines.com/en/system/Dydra,,,,2010.0,,commercial,,no,2010,,N,N
SmallSQL,366.0,394.0,396.0,Relational,0.02,+0.00,+0.00,https://db-engines.com/en/system/SmallSQL,,,,2005.0,,Open Source,L-GPL,no,2005,,Y,N
SparkleDB,367.0,396.0,398.0,RDF,0.02,+0.00,+0.00,https://db-engines.com/en/system/SparkleDB,,,,2012.0,,commercial,,no,2012,,N,N
OushuDB,368.0,355.0,385.0,Relational,0.01,-0.09,-0.09,https://db-engines.com/en/system/OushuDB,,Oushu,"A data warehouse powered by,Apache HAWQ,supporting descriptive analysis and advanced machine learning",,"4.0.1, August 2020",commercial,,no,,2020,N,N
Acebase,369.0,397.0,370.0,Document,0.01,+0.00,-0.12,https://db-engines.com/en/system/Acebase,,,"A fast, low memory, transactional,Document Store,, inspired by,Firebase Realtime Database",2018.0,,Open Source,MIT License,no,2018,,Y,N
Resin Cache,370.0,398.0,399.0,Key-value,0.01,0.00,0.00,https://db-engines.com/en/system/Resin+Cache,,,Distributed cache as part of an application server,1998.0,"4.0.66, December 2021",Open Source,"GPLv3, extended commercial license available",no,1998,2021,Y,N
Hawkular Metrics,371.0,366.0,357.0,Time Series,0.01,-0.07,-0.19,https://db-engines.com/en/system/Hawkular+Metrics,,Community supported by Red Hat,Hawkular metrics is the metric storage of the Red Hat sponsored Hawkular monitoring system. It is based on Cassandra.,2014.0,,Open Source,Apache 2.0,no,2014,,Y,N
SWC-DB,372.0,364.0,401.0,"Wide column, Multi-model",0.01,-0.07,+0.00,https://db-engines.com/en/system/SWC-DB,"Wide column store,Time Series DBMS",Alex Kashirin,"A high performance, scalable,Wide Column DBMS",2020.0,"0.5, April 2021",Open Source,GPL V3,no,2020,2021,Y,N
Faircom EDGE,373.0,362.0,395.0,Multi-model,0.01,-0.08,-0.01,https://db-engines.com/en/system/Faircom+EDGE,"Key-value store,Relational DBMS",FairCom Corporation,"FairCom EDGE is an Industry 4.0 solution built to integrate, collect, aggregate and synchronize mission-critical data in edge computing environments",1979.0,"V3, October 2020",commercial,"Restricted, free version available",no,1979,2020,N,N
Eloquera,374.0,399.0,341.0,Object oriented,0.01,0.00,-0.26,https://db-engines.com/en/system/Eloquera,,,,2008.0,6.3.3; January 2014,commercial,free licenses,no,2008,2014,N,N
Siaqodb,375.0,400.0,346.0,Object oriented,0.0,+0.00,-0.24,https://db-engines.com/en/system/Siaqodb,,,,,,commercial,,no,,,N,N
LedisDB,376.0,401.0,369.0,Key-value,0.0,+0.00,-0.14,https://db-engines.com/en/system/LedisDB,,,,2014.0,,Open Source,MIT-License,no,2014,,Y,N
SwayDB,377.0,387.0,404.0,Key-value,0.0,-0.04,+0.00,https://db-engines.com/en/system/SwayDB,,Simer Plaha,"An embeddable, non-blocking, type-safe,key-value store,for single or multiple disks and in-memory storage",2018.0,,Open Source,GNU Affero GPL V3.0,no,2018,,Y,N
ActorDB,378.0,402.0,387.0,Relational,0.0,±0.00,-0.09,https://db-engines.com/en/system/ActorDB,,,"A distributed, consistent,RDBMS",2014.0,,Open Source,Mozilla Public License 2.0,no,2014,,Y,N
ArcadeDB,378.0,358.0,350.0,Multi-model,0.0,-0.10,-0.23,https://db-engines.com/en/system/ArcadeDB,"Document store,Graph DBMS,Key-value store,Time Series DBMS",Arcade Data,"Fast and scalable multi-model DBMS, originally forked from,OrientDB,but most of the code has been rewritten",2021.0,September 2021,Open Source,Apache Version 2.0,no,2021,2021,Y,N
BergDB,378.0,402.0,405.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/BergDB,,,BergDB is a Java/.NET in-process time-key-value store.,2013.0,,Open Source,Gnu Affero General Public License (AGPL),no,2013,,Y,N
BrightstarDB,378.0,402.0,329.0,RDF,0.0,±0.00,-0.30,https://db-engines.com/en/system/BrightstarDB,,,,2012.0,,Open Source,,no,2012,,Y,N
Cachelot.io,378.0,388.0,390.0,Key-value,0.0,-0.04,-0.07,https://db-engines.com/en/system/Cachelot.io,,,In-memory caching system,2015.0,,Open Source,Simplified BSD License,no,2015,,Y,N
chDB,378.0,376.0,,"Relational, Multi-model",0.0,-0.07,,https://db-engines.com/en/system/chDB,"Relational DBMS,Time Series DBMS",,An embedded SQL OLAP Engine powered by ClickHouse,2023.0,,Open Source,Apache Version 2.0,no,2023,,Y,N
CortexDB,378.0,402.0,405.0,Multi-model,0.0,±0.00,±0.00,https://db-engines.com/en/system/CortexDB,"Document store,Key-value store",,,2014.0,,commercial,,no,2014,,N,N
CovenantSQL,378.0,402.0,405.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/CovenantSQL,,,"A decentralized blockchain,relational DBMS,, built with,SQLite",2018.0,,Open Source,,no,2018,,Y,N
DaggerDB,378.0,402.0,405.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/DaggerDB,,,Simple olap analytics DBMS built for high performance querying in real time,2014.0,,commercial,,no,2014,,N,N
Edge Intelligence,378.0,402.0,376.0,Relational,0.0,±0.00,-0.13,https://db-engines.com/en/system/Edge+Intelligence,,Adapdix,A Big Data Analytics Platform,2012.0,,commercial,,no,2012,,N,N
EdgelessDB,378.0,402.0,405.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/EdgelessDB,,Edgeless Systems,"A,MariaDB,-based, confidential,RDBMS,that runs entirely inside runtime-encrypted Intel SGX enclaves",2021.0,,Open Source,GPL V2,no,2021,,Y,N
Galaxybase,378.0,377.0,388.0,Graph,0.0,-0.07,-0.08,https://db-engines.com/en/system/Galaxybase,,"Chuanglin(Createlink) Technology Co., Ltd 浙江创邻科技有限公司","Scalable, ACID-compliant native distributed parallel graph platform",2017.0,"Nov 20, November 2021",commercial,,no,2017,2021,N,N
H2GIS,378.0,368.0,340.0,"Spatial, Multi-model",0.0,-0.08,-0.27,https://db-engines.com/en/system/H2GIS,"Spatial DBMS,Relational DBMS",CNRS,"Spatial extension of,H2",2013.0,,Open Source,LGPL 3.0,no,2013,,Y,N
Helium,378.0,402.0,405.0,Key-value,0.0,±0.00,±0.00,https://db-engines.com/en/system/Helium,,Levyx Inc.,Cost efficient key-value store,2013.0,,commercial,,no,2013,,N,N
HGraphDB,378.0,402.0,405.0,Graph,0.0,±0.00,±0.00,https://db-engines.com/en/system/HGraphDB,,,HGraphDB is a client layer for using HBase as a graph database by implementing the Tinkerpop 3 interfaces,2016.0,,Open Source,Apache 2.0,no,2016,,Y,N
HyperLevelDB,378.0,402.0,360.0,Key-value,0.0,±0.00,-0.19,https://db-engines.com/en/system/HyperLevelDB,,,"A fork of Google's,LevelDB",2010.0,,Open Source,,no,2010,,Y,N
iBoxDB,378.0,402.0,373.0,Document,0.0,±0.00,-0.14,https://db-engines.com/en/system/iBoxDB,,,Transactional embedded database for desktop and mobile applications.,2013.0,,Open Source,,no,2013,,Y,N
Indica,378.0,395.0,380.0,Search engine,0.0,-0.02,-0.12,https://db-engines.com/en/system/Indica,,,Enterprise Search Engine,2014.0,,commercial,parts of it are open source,no,2014,,N,N
InfinityDB,378.0,365.0,377.0,Key-value,0.0,-0.08,-0.13,https://db-engines.com/en/system/InfinityDB,,Boiler Bay Inc.,"A Java embedded,Key-Value Store,which extends the Java Map interface",2002.0,4.0,commercial,,no,2002,,N,N
JaguarDB,378.0,381.0,402.0,Multi-model,0.0,-0.06,-0.01,https://db-engines.com/en/system/JaguarDB,"Key-value store,Vector DBMS","DataJaguar, Inc.","Performant, highly scalable DBMS for AI and IoT applications",2015.0,3.3 July 2023,Open Source,GPL V3.0,no,2015,2023,Y,N
JasDB,378.0,402.0,405.0,Document,0.0,±0.00,±0.00,https://db-engines.com/en/system/JasDB,,,,2014.0,,Open Source,,no,2014,,Y,N
K-DB,378.0,402.0,405.0,Relational,0.0,±0.00,±0.00,https://db-engines.com/en/system/K-DB,,Inspur Group,"Oracle compatible DBMS for Inspur's own K1 mainframe, available in China",,,commercial,,no,,,N,N
Kuzu,378.0,402.0,,Graph,0.0,±0.00,,https://db-engines.com/en/system/Kuzu,,,"An embeddable property,Graph DBMS,built for query speed and scalability",2022.0,"0.4.2, May 2024",Open Source,MIT license,no,2022,2024,Y,N
Newts,378.0,375.0,403.0,Time Series,0.0,-0.07,0.00,https://db-engines.com/en/system/Newts,,OpenNMS Group,Time Series DBMS based on Cassandra,2014.0,,Open Source,Apache 2.0,no,2014,,Y,N
NSDb,378.0,369.0,364.0,Time Series,0.0,-0.08,-0.18,https://db-engines.com/en/system/NSDb,,,"Scalable, High-performance,Time Series DBMS,designed for Real-time Analytics on top of Kubernetes",2017.0,,Open Source,Apache Version 2.0,no,2017,,Y,N
OpenTenBase,378.0,370.0,,Relational,0.0,-0.08,,https://db-engines.com/en/system/OpenTenBase,,"OpenAtom Foundation, previously Tencent","An enterprise-level distributed HTAP open source database based on,PostgreSQL",,"2.5, January 2024",Open Source,BSD-3,no,,2024,Y,N
OrigoDB,378.0,380.0,373.0,Multi-model,0.0,-0.06,-0.14,https://db-engines.com/en/system/OrigoDB,"Document store,Object oriented DBMS",Robert Friberg et al,A fully ACID in-memory object graph database,2009.0,,Open Source,,no,2009,,Y,N
RaptorDB,378.0,402.0,368.0,Document,0.0,±0.00,-0.15,https://db-engines.com/en/system/RaptorDB,,,,,,Open Source,Apache Version 2,no,,,Y,N
