DBMS,Rank_Dec-2025,Rank_Nov-2025,Rank_Dec-2024,Database Model,Score_Dec-2025,Score_Nov-2025,Score_Dec-2024,DBMS_insitelink,Multi_model_info,Developer,Description,Initial release,Current release,License,License_info,Cloud-based only
GigaSpaces,194.0,191.0,187.0,Multi-model,0.95,-0.04,-0.04,https://db-engines.com/en/system/GigaSpaces,"Document store,Object oriented DBMS,Graph DBMS,Search engine",Gigaspaces Technologies,"High performance in-memory data grid platform, powering three products: Smart Cache, Smart ODS (Operational Data Store), Smart Augmented Transactions",2000.0,"15.5, September 2020",Open Source,Apache Version 2; Commercial licenses available,no
FoundationDB,195.0,196.0,196.0,Multi-model,0.94,+0.02,+0.02,https://db-engines.com/en/system/FoundationDB,"Document store,Key-value store,Relational DBMS",FoundationDB,Ordered key-value store. Core features are complimented by layers.,2013.0,"6.2.28, November 2020",Open Source,Apache 2.0,no
GT.M,196.0,194.0,192.0,Key-value,0.94,+0.01,-0.01,https://db-engines.com/en/system/GT.M,,,,1986.0,"7.0-000, February 2021",commercial,,no
M3DB,197.0,201.0,188.0,Time Series,0.92,+0.05,-0.07,https://db-engines.com/en/system/M3DB,,,A distributed time series database created for Uber,,,Open Source,Apache version 2,no
DataEase,198.0,199.0,178.0,Relational,0.89,+0.02,-0.16,https://db-engines.com/en/system/DataEase,,,,1981.0,,commercial,,no
Cubrid,199.0,197.0,195.0,Relational,0.87,-0.04,-0.05,https://db-engines.com/en/system/Cubrid,,"CUBRID Corporation, CUBRID Foundation",CUBRID is an open-source SQL-based relational database management system with object extensions for OLTP,2008.0,"11.4, May 2025",Open Source,Apache Version 2.0,no
HPE Ezmeral Data Fabric,200.0,200.0,211.0,Multi-model,0.85,-0.02,+0.06,https://db-engines.com/en/system/HPE+Ezmeral+Data+Fabric,"Document store,Wide column store","HPE, MapR Technologies, Inc","A unified data platform to ingest, store, manage, process, apply, and analyze all data types from any data source, and a variety of different ingestion mechanisms at an exabyte scale",2009.0,,commercial,,no
NCache,201.0,205.0,191.0,"Key-value, Multi-model",0.84,+0.03,-0.13,https://db-engines.com/en/system/NCache,"Key-value store,Document store,Search engine",Alachisoft,"Open-Source and Enterprise in-memory,Key-Value Store",2005.0,"5.3.3, April 2024",Open Source,Enterprise Edition available,no
ZODB,202.0,208.0,208.0,Key-value,0.84,+0.07,+0.03,https://db-engines.com/en/system/ZODB,,,Native object database for Python,2009.0,"5.8.1, July 2023",Open Source,,no
Firebolt,203.0,198.0,150.0,Relational,0.83,-0.07,-0.57,https://db-engines.com/en/system/Firebolt,,Firebolt Analytics Inc.,Highly scalable cloud data warehouse and analytics product,2020.0,,commercial,,yes
Alibaba Cloud AnalyticDB for MySQL,204.0,202.0,201.0,"Relational, Multi-model",0.82,-0.04,-0.05,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+MySQL,"Relational DBMS,Document store",Alibaba,A real-time data warehousing service that can process petabytes of data with high concurrency and low latency. It is fully compatible with the MySQL protocol.,,,commercial,,yes
SciDB,205.0,204.0,220.0,Multivalue,0.81,-0.01,+0.10,https://db-engines.com/en/system/SciDB,,Paradigm4,DBMS built upon a multi-dimensional array data model,2008.0,,Open Source,,no
Altibase,206.0,203.0,206.0,Relational,0.79,-0.04,-0.03,https://db-engines.com/en/system/Altibase,,Altibase,"An enterprise grade, high-performance,RDBMS",1999.0,"v7.3, 2023, August 2023",commercial,Open source edition discontinued with March 2023,no
Dolt,207.0,211.0,213.0,"Relational, Multi-model",0.78,+0.04,+0.02,https://db-engines.com/en/system/Dolt,"Relational DBMS,Document store",DoltHub Inc,"A,MySQL,compatible,DBMS,with Git-like versioning of data and schema",2018.0,,Open Source,Apache Version 2.0,no
GeoMesa,208.0,206.0,215.0,Spatial,0.78,+0.00,+0.04,https://db-engines.com/en/system/GeoMesa,,CCRi and others,GeoMesa is a distributed spatio-temporal DBMS based on various systems as storage layer.,2014.0,"5.0.1, July 2024",Open Source,Apache License 2.0,no
Apache Sedona,209.0,220.0,275.0,Spatial,0.77,+0.07,+0.43,https://db-engines.com/en/system/Apache+Sedona,,Apache Software Foundation and contributors,"Apache Sedona extends,Apache Flink,and Apache Spark with a set of out-of-the-box distributed Spatial Datasets and Spatial SQL that efficiently load, process, and analyze large-scale spatial data across machines.",2020.0,,Open Source,Apache Version 2.0,no
NuoDB,210.0,209.0,205.0,Relational,0.76,+0.00,-0.07,https://db-engines.com/en/system/NuoDB,,Dassault Systèmes,NuoDB is a webscale distributed database that supports SQL and ACID transactions,2013.0,,commercial,limited edition free,no
Xapian,211.0,207.0,222.0,Search engine,0.76,-0.02,+0.05,https://db-engines.com/en/system/Xapian,,,Open Source search engine library,1986.0,"1.4.25, March 2024",Open Source,GPLv2,no
Blazegraph,212.0,210.0,214.0,Multi-model,0.75,-0.01,+0.00,https://db-engines.com/en/system/Blazegraph,"Graph DBMS,RDF store",Blazegraph,"High-performance graph database supporting Semantic Web (RDF/SPARQL) and Graph Database (tinkerpop3, blueprints, vertex-centric) APIs with scale-out and High Availability.",2006.0,"2.1.5, March 2019",Open Source,extended commercial license available,no
Infobright,213.0,212.0,204.0,Relational,0.75,+0.01,-0.09,https://db-engines.com/en/system/Infobright,,Ignite Technologies Inc.; formerly InfoBright Inc.,High performant column-oriented DBMS for analytic workloads using MySQL or PostgreSQL as a frontend,2005.0,,commercial,The open source (GPLv2) version did not support inserts/updates/deletes and was discontinued with July 2016,no
AllegroGraph,214.0,214.0,216.0,Multi-model,0.73,+0.00,0.00,https://db-engines.com/en/system/AllegroGraph,"Document store,Graph DBMS,RDF store,Vector DBMS,Spatial DBMS",Franz Inc.,"High performance, persistent RDF store with additional support for Graph DBMS",2004.0,"8.0, December 2023",commercial,Limited community edition free,no
Yellowbrick,215.0,216.0,212.0,Relational,0.72,+0.00,-0.06,https://db-engines.com/en/system/Yellowbrick,,Yellowbrick Data,Data Warehouse appliance and cloud service,,,commercial,,no
MatrixOne,216.0,218.0,181.0,Relational,0.72,+0.02,-0.32,https://db-engines.com/en/system/MatrixOne,,,"A Hyperconverged Cloud & Edge Native DBMS, supporting transactional, analytical, and streaming workloads with a simplified and distributed database engine, across multiple data centers, clouds, edges and other heterogenous infrastructures.",2021.0,,Open Source,Apache Version 2.0,no
BigchainDB,217.0,213.0,209.0,Document,0.72,-0.02,-0.08,https://db-engines.com/en/system/BigchainDB,,,"BigchainDB is scalable blockchain database offering decentralization, immutability and native assets",2016.0,,Open Source,AGPL v3,no
Model 204,218.0,217.0,210.0,Multivalue,0.71,+0.00,-0.08,https://db-engines.com/en/system/Model+204,,,,1972.0,,commercial,,no
IDMS,219.0,221.0,199.0,Navigational,0.71,+0.01,-0.19,https://db-engines.com/en/system/IDMS,,Broadcom (formerly CA Technologies),,1973.0,18.5,commercial,,no
Alibaba Cloud AnalyticDB for PostgreSQL,220.0,215.0,218.0,Relational,0.68,-0.04,-0.05,https://db-engines.com/en/system/Alibaba+Cloud+AnalyticDB+for+PostgreSQL,,Alibaba / Pivotal Software Inc. / PostgreSQL Global Development Group,"An online MPP (Massively Parallel Processing) data warehousing service based on,Greenplum",2016.0,,commercial,,yes
RDF4J,221.0,227.0,202.0,RDF,0.68,+0.03,-0.18,https://db-engines.com/en/system/RDF4J,,"Since 2016 officially forked into an Eclipse project, former developer was Aduna Software.","RDF4J is a Java framework for processing RDF data, supporting both memory-based and a disk-based storage.",2004.0,,Open Source,"Eclipse Distribution License (EDL), v1.0.",no
KeyDB,222.0,222.0,223.0,Key-value,0.68,0.00,+0.00,https://db-engines.com/en/system/KeyDB,,EQ Alpha Technology Ltd.,"An ultra-fast, open source,Key-value store,fully compatible with Redis API, modules, and protocols",2019.0,,Open Source,BSD-3,no
eXist-db,223.0,224.0,219.0,Native XML,0.67,+0.01,-0.06,https://db-engines.com/en/system/eXist-db,,,,2000.0,,Open Source,L-GPL,no
Apache Pinot,224.0,226.0,271.0,Relational,0.66,+0.00,+0.30,https://db-engines.com/en/system/Apache+Pinot,,Apache Software Foundation and contributors,"Realtime distributed OLAP datastore, designed to answer OLAP queries with low latency",2015.0,"1.0.0, September 2023",Open Source,Apache Version 2.0,no
eXtremeDB,225.0,219.0,185.0,"Time Series, Multi-model",0.66,-0.05,-0.34,https://db-engines.com/en/system/eXtremeDB,"Time Series DBMS,Relational DBMS",McObject,"Natively in-memory DBMS with options for persistency, high-availability and clustering",2001.0,"8.2, 2021",commercial,,no
Sedna,226.0,232.0,203.0,Native XML,0.65,+0.04,-0.21,https://db-engines.com/en/system/Sedna,,,,2006.0,,Open Source,Apache Version 2,no
Actian Vector,227.0,228.0,221.0,Relational,0.64,0.00,-0.08,https://db-engines.com/en/system/Actian+Vector,,,,,"Vector 5.0, July 2016",commercial,,no
Datacom/DB,228.0,230.0,217.0,Relational,0.63,+0.01,-0.10,https://db-engines.com/en/system/Datacom%2FDB,,Broadcom (formerly CA),"RDBMS,for mainframes",1972.0,,commercial,,no
RisingWave,229.0,225.0,235.0,Relational,0.63,-0.03,+0.02,https://db-engines.com/en/system/RisingWave,,RisingWave Labs,"A distributed,RDBMS,for stream processing, wire-compatible with,PostgreSQL",2022.0,"2.6, September 2025",Open Source,Apache Version 2.0,no
Alibaba Cloud Log Service,230.0,223.0,263.0,Search engine,0.63,-0.04,+0.22,https://db-engines.com/en/system/Alibaba+Cloud+Log+Service,,AlibabaCloud Inc.,"A complete real-time data logging service that supports collection, consumption, shipping, search, and analysis of logs.",2016.0,,commercial,,yes
TypeDB,231.0,229.0,234.0,Multi-model,0.63,0.00,+0.01,https://db-engines.com/en/system/TypeDB,"Graph DBMS,Object oriented DBMS,Relational DBMS",TypeDB,"TypeDB provides developers with an expressive, customizable type system to manage their data using an award-winning query language, TypeQL, while building on a high-performance, distributed architecture.",2016.0,"3.4.4, 2025",Open Source,"GPL Version 3, commercial licenses available",no
DBISAM,232.0,234.0,230.0,Relational,0.62,+0.03,-0.01,https://db-engines.com/en/system/DBISAM,,"Elevate Software, Inc.",RDBMS mainly geared to Delphi and C++Builder application developers,1998.0,,commercial,,no
CrateDB,234.0,231.0,224.0,Multi-model,0.61,-0.01,-0.04,https://db-engines.com/en/system/CrateDB,"Document store,Spatial DBMS,Search engine,Time Series DBMS,Vector DBMS,Relational DBMS",Crate,Distributed Database based on Lucene,2013.0,"5.8.1, August 2024",Open Source,,no
Objectivity/DB,235.0,233.0,231.0,Object oriented,0.61,+0.02,-0.02,https://db-engines.com/en/system/Objectivity%2FDB,,,,1990.0,,commercial,,no
1010data,236.0,236.0,233.0,Relational,0.58,+0.01,-0.04,https://db-engines.com/en/system/1010data,,,,2000.0,,commercial,,no
BoltDB,237.0,235.0,228.0,Key-value,0.58,+0.00,-0.05,https://db-engines.com/en/system/BoltDB,,,"An embedded,key-value store,for Go.",2013.0,,Open Source,MIT License,no
SQream DB,238.0,237.0,227.0,Relational,0.58,+0.01,-0.05,https://db-engines.com/en/system/SQream+DB,,SQream Technologies,"a GPU-based, columnar RDBMS for big data analytics workloads",2017.0,"2022.1.6, December 2022",commercial,,no
solidDB,239.0,239.0,229.0,Relational,0.56,+0.00,-0.06,https://db-engines.com/en/system/solidDB,,"Unicom Systems, Inc; IBM",,1992.0,,commercial,,no
R:BASE,240.0,238.0,239.0,Relational,0.56,0.00,-0.01,https://db-engines.com/en/system/R%3ABASE,,,,1981.0,,commercial,,no
Graph Engine,241.0,243.0,238.0,Multi-model,0.56,+0.03,-0.02,https://db-engines.com/en/system/Graph+Engine,"Graph DBMS,Key-value store",Microsoft,"A distributed in-memory data processing engine, underpinned by a strongly-typed RAM store and a general distributed computation engine",2010.0,,Open Source,MIT License,no
FrontBase,242.0,240.0,236.0,Relational,0.55,-0.01,-0.04,https://db-engines.com/en/system/FrontBase,,,,1993.0,"8.2.6, December 2015",commercial,free licenses,no
Dragonfly,243.0,245.0,245.0,Key-value,0.54,+0.01,+0.02,https://db-engines.com/en/system/Dragonfly,,DragonflyDB team and community contributors,"A drop-in,Redis,replacement that scales vertically to support millions of operations per second and terabyte sized workloads, all on a single instance",2023.0,"1.0, March 2023",Open Source,BSL 1.1,no
KairosDB,244.0,244.0,232.0,Time Series,0.54,+0.01,-0.08,https://db-engines.com/en/system/KairosDB,,,"Distributed Time Series DBMS based on Cassandra or,H2",2013.0,"1.2.2, November 2018",Open Source,Apache 2.0,no
ObjectDB,245.0,241.0,226.0,Object oriented,0.54,-0.02,-0.09,https://db-engines.com/en/system/ObjectDB,,,,2010.0,"2.9.0, June 2024",commercial,,no
Splice Machine,246.0,242.0,242.0,Relational,0.53,+0.00,0.00,https://db-engines.com/en/system/Splice+Machine,,Splice Machine,"Open-Source SQL RDBMS for Operational and Analytical use cases with native Machine Learning, powered by Hadoop and Spark",2014.0,"3.1, March 2021",Open Source,"AGPL 3.0, commercial license available",no
Perst,247.0,253.0,256.0,Object oriented,0.53,+0.07,+0.11,https://db-engines.com/en/system/Perst,,,,2003.0,,Open Source,commercial license available,no
ITTIA,248.0,247.0,259.0,"Time Series, Multi-model",0.51,+0.01,+0.09,https://db-engines.com/en/system/ITTIA,"Time Series DBMS,Relational DBMS",ITTIA L.L.C.,Edge Time Series DBMS with Real-Time Stream Processing,2007.0,8.7,commercial,,no
Percona Server for MongoDB,249.0,248.0,249.0,Document,0.5,0.00,+0.01,https://db-engines.com/en/system/Percona+Server+for+MongoDB,,Percona,A drop-in replacement for MongoDB Community Edition with enterprise-grade features.,2015.0,"3.4.10-2.10, November 2017",Open Source,GPL Version 2,no
Kinetica,250.0,249.0,254.0,"Relational, Multi-model",0.49,-0.01,+0.03,https://db-engines.com/en/system/Kinetica,"Relational DBMS,Spatial DBMS,Time Series DBMS",Kinetica,Fully vectorized database across both GPUs and CPUs,2012.0,"7.1, August 2021",commercial,,no
Apache Doris,251.0,246.0,250.0,Relational,0.49,-0.04,+0.00,https://db-engines.com/en/system/Apache+Doris,,"Apache Software Foundation, originally contributed from Baidu","An MPP-based analytics DBMS embracing the,MySQL,protocol",2017.0,"1.2.2, February 2023",Open Source,Apache Version 2.0,no
NexusDB,252.0,251.0,243.0,Relational,0.48,+0.01,-0.05,https://db-engines.com/en/system/NexusDB,,,,2003.0,"4.50.26, February 2021",commercial,,no
Harper,253.0,250.0,241.0,Document,0.46,-0.03,-0.08,https://db-engines.com/en/system/Harper,,HarperDB,"Harper fuses database, cache, messaging, and application functions into a single process, delivering web performance, simplicity, and resilience unmatched by multi-technology stacks.",2017.0,"3.1, August 2021",commercial,free community edition available,no
atoti,254.0,257.0,251.0,Object oriented,0.45,+0.01,-0.02,https://db-engines.com/en/system/atoti,,ActiveViam,"An in-memory,DBMS,combining transactional and analytical processing to handle the aggregation of ever-changing data.",,,commercial,free versions available,no
MapDB,255.0,255.0,246.0,Key-value,0.44,-0.01,-0.07,https://db-engines.com/en/system/MapDB,,,,2002.0,,Open Source,Apache Version 2,no
RaptorDB,256.0,252.0,317.0,Document,0.44,-0.03,+0.26,https://db-engines.com/en/system/RaptorDB,,,,,,Open Source,Apache Version 2,no
Kingbase,257.0,263.0,244.0,"Relational, Multi-model",0.43,+0.02,-0.09,https://db-engines.com/en/system/Kingbase,"Relational DBMS,Document store,Spatial DBMS",BeiJing KINGBASE Information technologies inc.,"An enterprise-class,RDBMS,compatible with PostgreSQL and Oracle and widely used in China.",1999.0,"V8.0, August 2021",commercial,,no
VistaDB,258.0,261.0,253.0,Relational,0.43,+0.01,-0.03,https://db-engines.com/en/system/VistaDB,,Gibraltar Software,,2008.0,,commercial,,no
Scalaris,259.0,260.0,252.0,Key-value,0.42,+0.00,-0.04,https://db-engines.com/en/system/Scalaris,,,,2010.0,,Open Source,Apache Version 2,no
Kyligence Enterprise,260.0,254.0,258.0,Relational,0.42,-0.03,+0.00,https://db-engines.com/en/system/Kyligence+Enterprise,,"Kyligence, Inc.","A distributed analytics engine for big data, built on top of,Apache Kylin",2016.0,,commercial,,no
Hibari,261.0,259.0,257.0,Key-value,0.42,-0.01,0.00,https://db-engines.com/en/system/Hibari,,,,2005.0,,Open Source,Apache Version 2,no
WebSphere eXtreme Scale,262.0,258.0,240.0,Key-value,0.42,-0.02,-0.15,https://db-engines.com/en/system/WebSphere+eXtreme+Scale,,,An elastic highly scalable in-memory data grid,2009.0,,commercial,,no
YDB,263.0,262.0,269.0,Multi-model,0.41,+0.00,+0.04,https://db-engines.com/en/system/YDB,"Document store,Relational DBMS",Yandex,"A distributed fault-tolerant database service, with high availability, scalability, immediate consistency and ACID transactions and providing an,Amazon DynamoDB,compatible API",2019.0,,Open Source,Apache 2.0; commercial license available,no
Deep Lake,264.0,256.0,280.0,Vector,0.41,-0.03,+0.10,https://db-engines.com/en/system/Deep+Lake,,Activeloop,Deep Lake is a vector DBMS optimized for deep-learning and Large Language Model (LLM) based applications.,,,Open Source,MPL-2.0 license,no
GemStone/S,265.0,264.0,248.0,Object oriented,0.4,0.00,-0.08,https://db-engines.com/en/system/GemStone%2FS,,,,1986.0,64 Bit 3.3.3,commercial,,no
ScaleArc,266.0,267.0,262.0,Relational,0.4,+0.00,-0.01,https://db-engines.com/en/system/ScaleArc,,Ignite,"A layer on top of standard MySQL, SQL Server or Oracle instances for data distribution and sharding",2009.0,,commercial,limited edition free,no
Elassandra,267.0,265.0,284.0,"Wide column, Multi-model",0.39,0.00,+0.10,https://db-engines.com/en/system/Elassandra,"Wide column store,Search engine",,"Open source database and search engine for multi-cloud applications based on Cassandra and,Elasticsearch",,,Open Source,Apache Version 2.0,no
Cloudflare Workers KV,268.0,271.0,288.0,Key-value,0.39,+0.03,+0.10,https://db-engines.com/en/system/Cloudflare+Workers+KV,,Cloudflare,"A global, low-latency,,key-value store,for applications on Cloudflare with exceptionally high read volumes and low-latency.",2018.0,,commercial,,yes
OpenInsight,269.0,270.0,266.0,Multivalue,0.39,+0.00,+0.00,https://db-engines.com/en/system/OpenInsight,,Revelation Software,Development Environment with included multi-value filing system,1992.0,"10.0.1, April 2018",commercial,,no
Alibaba Cloud TSDB,270.0,274.0,296.0,Time Series,0.38,+0.04,+0.12,https://db-engines.com/en/system/Alibaba+Cloud+TSDB,,Alibaba,"A stable, reliable, and cost-effective online high-performance time series database service",,,commercial,,yes
Marqo,271.0,266.0,276.0,Search engine,0.38,-0.02,+0.05,https://db-engines.com/en/system/Marqo,,,"An open source vector-based,search engine",2022.0,,Open Source,Apache Version 2.0,no
CnosDB,272.0,268.0,278.0,Time Series,0.37,-0.02,+0.05,https://db-engines.com/en/system/CnosDB,,,"An open source distributed,Time Series DBMS,with high performance, high compression rate and high ease of use",2022.0,"2.2.0, February 2023",Open Source,AGPL 3.0,no
SearchBlox,273.0,269.0,279.0,Search engine,0.37,-0.02,+0.05,https://db-engines.com/en/system/SearchBlox,,,,2003.0,,commercial,,no
SQL.JS,274.0,273.0,247.0,Relational,0.36,+0.01,-0.14,https://db-engines.com/en/system/SQL.JS,,Alon Zakai,"Port of,SQLite,to JavaScript",2012.0,,Open Source,,no
LokiJS,275.0,276.0,267.0,Document,0.35,+0.01,-0.03,https://db-engines.com/en/system/LokiJS,,,In-memory JavaScript DBMS,2014.0,,Open Source,,no
Rasdaman,276.0,277.0,264.0,Multivalue,0.35,+0.01,-0.05,https://db-engines.com/en/system/Rasdaman,,,Extends standard RDBMS with efficient handling of multi-dimensional arrays,1998.0,"rasdaman v9.8.1, July 2019",Open Source,extended commercial license available,no
Comdb2,277.0,275.0,277.0,Relational,0.35,+0.00,+0.02,https://db-engines.com/en/system/Comdb2,,Bloomberg Finance L.P.,"A distributed,RDBMS,designed for geographical replication and high availability. It has been developed by Bloomberg Finance L.P. and is used as their primary DBMS.",2004.0,,Open Source,Apache 2.0,no
AlaSQL,278.0,272.0,260.0,Multi-model,0.34,-0.02,-0.07,https://db-engines.com/en/system/AlaSQL,"Document store,Relational DBMS",Andrey Gershun & Mathias R. Wulff,JavaScript DBMS library,2014.0,,Open Source,MIT-License,no
Fluree,279.0,278.0,281.0,Graph,0.33,0.00,+0.02,https://db-engines.com/en/system/Fluree,,"Fluree, PBC","A,Graph DBMS,built with blockchain technology",2018.0,,Open Source,open-sourced in October 2020,no
Sequoiadb,280.0,279.0,265.0,Multi-model,0.33,+0.00,-0.07,https://db-engines.com/en/system/Sequoiadb,"Document store,Relational DBMS",Sequoiadb Ltd.,NewSQL database with distributed OLTP and SQL,2013.0,,Open Source,Server: AGPL; Client: Apache V2,no
Northgate Reality,281.0,280.0,237.0,Multivalue,0.32,+0.01,-0.27,https://db-engines.com/en/system/Northgate+Reality,,,,1973.0,,commercial,,no
Postgres-XL,282.0,282.0,261.0,"Relational, Multi-model",0.3,+0.02,-0.11,https://db-engines.com/en/system/Postgres-XL,"Relational DBMS,Document store,Spatial DBMS",,Based on PostgreSQL enhanced with MPP and write-scale-out cluster features,2014.0,"10 R1, October 2018",Open Source,Mozilla public license,no
Databend,283.0,281.0,294.0,Relational,0.3,+0.00,+0.02,https://db-engines.com/en/system/Databend,,Databend Labs,"An open-source, elastic, and workload-aware cloud data warehouse designed to meet businesses' massive-scale analytics needs at low cost and with low complexity",2021.0,"1.0.59, April 2023",Open Source,Apache Version 2.0,no
Strabon,284.0,285.0,274.0,RDF,0.29,+0.01,-0.06,https://db-engines.com/en/system/Strabon,,,,2011.0,,Open Source,Mozilla public license,no
Starcounter,285.0,283.0,286.0,Object oriented,0.28,+0.00,-0.01,https://db-engines.com/en/system/Starcounter,,,,2006.0,"2.3.2.930, April 2018",commercial,,no
ModeShape,286.0,286.0,268.0,Content,0.28,+0.01,-0.10,https://db-engines.com/en/system/ModeShape,,,,2010.0,,Open Source,Apache Version 2,no
InfiniteGraph,287.0,287.0,289.0,Graph,0.27,+0.01,-0.01,https://db-engines.com/en/system/InfiniteGraph,,,,2010.0,,commercial,,no
FeatureBase,288.0,290.0,304.0,Relational,0.27,+0.02,+0.05,https://db-engines.com/en/system/FeatureBase,,Molecula and Pilosa Open Source Contributors,"Real-time database platform that powers real-time analytics and machine learning applications by simultaneously executing low-latency, high-throughput, and highly concurrent workloads.",2017.0,"2022, May 2022",commercial,,no
Project Voldemort,289.0,289.0,285.0,Key-value,0.26,+0.01,-0.03,https://db-engines.com/en/system/Project+Voldemort,,,,2009.0,"1.10.25, July 2017",Open Source,Apache version 2,no
Vald,290.0,288.0,282.0,Vector,0.26,+0.00,-0.04,https://db-engines.com/en/system/Vald,,,Vald is a distributed vector DBMS.,,,Open Source,Apache-2.0 license,no
Valentina Server,291.0,284.0,315.0,Relational,0.26,-0.03,+0.08,https://db-engines.com/en/system/Valentina+Server,,Paradigma Software,Object-relational database and reports server,1999.0,5.7.5,commercial,,no
Actian PSQL,292.0,296.0,307.0,Relational,0.25,+0.01,+0.03,https://db-engines.com/en/system/Actian+PSQL,,,RDBMS used for embedded databases,1982.0,"v15 SP2 (15.20), August 2021",commercial,,no
Manticore Search,293.0,293.0,303.0,"Search engine, Multi-model",0.25,+0.01,+0.02,https://db-engines.com/en/system/Manticore+Search,"Search engine,Time Series DBMS",Manticore Software,"Multi-storage database for search, including full-text search.",2017.0,"6.0, February 2023",Open Source,GPL version 2,no
Mimer SQL,294.0,300.0,308.0,Relational,0.25,+0.02,+0.04,https://db-engines.com/en/system/Mimer+SQL,,,,1977.0,"11.0.8D, May 2024",commercial,,no
Brytlyt,295.0,292.0,287.0,Relational,0.25,+0.00,-0.04,https://db-engines.com/en/system/Brytlyt,,Brytlyt,"Scalable GPU-accelerated,RDBMS,for very fast analytic and streaming workloads, leveraging,PostgreSQL",2016.0,"5.0, August 2023",commercial,,no
RDFox,296.0,294.0,298.0,Multi-model,0.24,0.00,0.00,https://db-engines.com/en/system/RDFox,"Graph DBMS,RDF store,Relational DBMS",Oxford Semantic Technologies,High performance knowledge graph and semantic reasoning engine,2017.0,"6.0, Septermber 2022",commercial,,no
PieCloudDB,297.0,297.0,290.0,Relational,0.23,0.00,-0.05,https://db-engines.com/en/system/PieCloudDB,,OpenPie,A cloud-native analytic database platform with new technologoy for elastic MPP,,"2.1, January 2023",commercial,,yes
RedStore,298.0,298.0,311.0,RDF,0.23,+0.00,+0.03,https://db-engines.com/en/system/RedStore,,,RedStore is a lightweight RDF triplestore,2009.0,,Open Source,GPLv3,no
4store,299.0,303.0,255.0,RDF,0.23,+0.01,-0.20,https://db-engines.com/en/system/4store,,,,2009.0,,Open Source,GPLv3,no
Raima Database Manager,300.0,291.0,270.0,Multi-model,0.23,-0.02,-0.14,https://db-engines.com/en/system/Raima+Database+Manager,"Relational DBMS,Time Series DBMS",Raima Inc.,"RDBMS with a small footprint, either embedded into an application or used as a database server",1984.0,"15, June 2021",commercial,,no
Fujitsu Enterprise Postgres,301.0,295.0,291.0,"Relational, Multi-model",0.23,-0.01,-0.05,https://db-engines.com/en/system/Fujitsu+Enterprise+Postgres,"Relational DBMS,Document store,Spatial DBMS",Fujitsu Limited,"Enterprise-grade,PostgreSQL,-based DBMS with security enhancements such as Transparent Data Encryption and Data Masking, plus high-availability and performance improvement features.",,"Fujitsu Enterprise Postgres 16, May 2024",commercial,,no
YTsaurus,302.0,304.0,325.0,Multi-model,0.22,0.00,+0.06,https://db-engines.com/en/system/YTsaurus,"Document store,Key-value store",Yandex,YTsaurus is an open source platform for distributed storage and processing.,2023.0,,Open Source,"Apache License, Version 2.0",no
AnzoGraph DB,303.0,302.0,302.0,Multi-model,0.22,0.00,-0.01,https://db-engines.com/en/system/AnzoGraph+DB,"Graph DBMS,RDF store",Cambridge Semantics,"Scalable graph database built for online analytics and data harmonization with MPP scaling, high-performance analytical algorithms and reasoning, and virtualization",2018.0,"2.3, January 2021",commercial,free trial version available,no
FalkorDB,304.0,301.0,343.0,Graph,0.22,-0.01,+0.13,https://db-engines.com/en/system/FalkorDB,,FalkorDB Ltd,"A low latency Graph Database built for real-time graph query, knowledge retrieval and GraphRAG.",2023.0,,Open Source (SSPLv1),,no (FalkorDB is available as Falkor Cloud)
LeanXcale,305.0,309.0,283.0,Multi-model,0.22,+0.01,-0.08,https://db-engines.com/en/system/LeanXcale,"Key-value store,Relational DBMS",LeanXcale,A highly scalable full ACID SQL database with fast NoSQL data ingestion and GIS capabilities,2015.0,,commercial,,no
Actian FastObjects,306.0,306.0,306.0,Object oriented,0.22,+0.00,-0.01,https://db-engines.com/en/system/Actian+FastObjects,,Actian,,,,commercial,,no
Faircom DB,307.0,308.0,312.0,Multi-model,0.21,+0.00,+0.02,https://db-engines.com/en/system/Faircom+DB,"Key-value store,Relational DBMS",FairCom Corporation,Native high-speed multi-model DBMS for relational and key-value store data simultaneously accessible through SQL and NoSQL APIs.,1979.0,"V13, July 2024",commercial,"Restricted, free version available",no
XTDB,308.0,310.0,321.0,Document,0.21,+0.00,+0.04,https://db-engines.com/en/system/XTDB,,Juxt Ltd.,A general purpose database with bitemporal SQL and Datalog and graph queries,2019.0,"1.19, September 2021",Open Source,MIT License,no
MyScale,309.0,305.0,297.0,Multi-model,0.21,-0.01,-0.06,https://db-engines.com/en/system/MyScale,"Relational DBMS,Vector DBMS",,"Built on,Clickhouse,, MyScale integrates vector search and SQL analytics and is used for large scale AI applications",2022.0,,commercial,,yes
NEventStore,310.0,311.0,328.0,Event,0.2,0.00,+0.05,https://db-engines.com/en/system/NEventStore,,,A persistence agnostic Event Store for .NET,2011.0,,Open Source,MIT-License,no
Tibco ComputeDB,311.0,312.0,314.0,Relational,0.19,-0.01,+0.01,https://db-engines.com/en/system/Tibco+ComputeDB,,Tibco,Distributed in-memory data store for real-time operational analytics based on Apache Spark,2015.0,,Open Source,Apache 2.0,no
Redland,312.0,317.0,293.0,RDF,0.19,+0.01,-0.09,https://db-engines.com/en/system/Redland,,,A set of free software C libraries that provide support for the Resource Description Framework (RDF),2000.0,,Open Source,"Multi License (LGPL, GPLv2, Apache V2)",no
