DBMS,category_label,Multi_model_info,DBMS_insitelink,has_open_source_github_repo,has_company,github_repo_link,Score_Apr-2023,Rank_Apr-2023,org_name,repo_name,Developer,initial_release_recalc,current_release_recalc,open_source_license,License_info,cloud_based_only_recalc,Content,Document,Event,Graph,Key-value,Multivalue,Native XML,Navigational,Object oriented,RDF,Relational,Search engine,Spatial DBMS,Time Series,Wide column
Elliptics,Key-value,Key-value store,https://db-engines.com/en/system/Elliptics,Y,,reverbrain/elliptics,0.27,321,reverbrain,elliptics,,2009,,Y,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Upscaledb,Key-value,Key-value store,https://db-engines.com/en/system/Upscaledb,Y,,cruppstahl/upscaledb,0.27,322,cruppstahl,upscaledb,,2007,,Y,Apache Version 2,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tigris,Document,"Document store,Key-value store,Search engine,Time Series DBMS",https://db-engines.com/en/system/Tigris,Y,,tigrisdata/tigris,0.26,323,tigrisdata,tigris,"Tigris Data, Inc.",2022,,Y,Apache Version 2.0,N,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
STSdb,Key-value,Key-value store,https://db-engines.com/en/system/STSdb,Y,,STSSoft/STSdb4,0.25,324,STSSoft,STSdb4,STS Soft SC,2011,2015,Y,"GPLv2, commercial license available",N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tibco ComputeDB,Relational,Relational DBMS,https://db-engines.com/en/system/Tibco+ComputeDB,Y_NotGitHub-release_community.tibco.com/s/article/TIBCO-Graph-Database-Releases,Y,-,0.25,325,-,-,Tibco,2015,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RDFox,Graph,"Graph DBMS,RDF store,Relational DBMS",https://db-engines.com/en/system/RDFox,N,,-,0.25,326,-,-,Oxford Semantic Technologies,2017,2022,N,,N,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
Edge Intelligence,Relational,Relational DBMS,https://db-engines.com/en/system/Edge+Intelligence,N,,-,0.24,327,-,-,,2012,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IRONdb,Time Series,Time Series DBMS,https://db-engines.com/en/system/IRONdb,N,,-,0.24,327,-,-,Circonus LLC.,2017,2018,N,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ultipa,Graph,Graph DBMS,https://db-engines.com/en/system/Ultipa,N,,-,0.24,329,-,-,Ultipa,2019,,N,,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NEventStore,Event,Event Store,https://db-engines.com/en/system/NEventStore,Y,,NEventStore/NEventStore,0.24,330,NEventStore,NEventStore,,2011,,Y,MIT-License,N,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
RaptorDB,Document,Document store,https://db-engines.com/en/system/RaptorDB,Y,,mgholam/RaptorDB-Document,0.24,331,mgholam,RaptorDB-Document,,,,Y,Apache Version 2,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alibaba Cloud Table Store,Wide column,Wide column store,https://db-engines.com/en/system/Alibaba+Cloud+Table+Store,N,,-,0.24,332,-,-,Alibaba,2016,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BrightstarDB,RDF,RDF store,https://db-engines.com/en/system/BrightstarDB,Y,,BrightstarDB/BrightstarDB,0.23,333,BrightstarDB,BrightstarDB,,2012,,Y,,N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bangdb,Document,"Document store,Graph DBMS,Time Series DBMS,Spatial DBMS",https://db-engines.com/en/system/Bangdb,Y,,sachin-sinha/BangDB,0.23,334,sachin-sinha,BangDB,"Sachin Sinha, BangDB",2012,2021,Y,BSD 3,N,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
HyperLevelDB,Key-value,Key-value store,https://db-engines.com/en/system/HyperLevelDB,Y,,rescrv/HyperLevelDB,0.22,335,rescrv,HyperLevelDB,,2010,,Y,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sparksee,Graph,Graph DBMS,https://db-engines.com/en/system/Sparksee,N,,-,0.22,336,-,-,,2008,2021,N,,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Eloquera,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Eloquera,N,,-,0.22,337,-,-,,2008,2014,N,free licenses,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Siaqodb,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/Siaqodb,Y_Nonlicense,,morecraf/Siaqodb,0.22,338,morecraf,Siaqodb,,,,N,,N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
H2GIS,Spatial DBMS,"Spatial DBMS,Relational DBMS",https://db-engines.com/en/system/H2GIS,Y,,orbisgis/h2gis,0.21,339,orbisgis,h2gis,CNRS,2013,,Y,LGPL 3.0,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Acebase,Document,Document store,https://db-engines.com/en/system/Acebase,Y,,appy-one/acebase,0.21,340,appy-one,acebase,,2018,,Y,MIT License,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AntDB,Relational,Relational DBMS,https://db-engines.com/en/system/AntDB,Y,,ADBSQL/AntDB,0.21,341,ADBSQL,AntDB,AsiaInfo Technologies Limited,,,N,"community version available at,github.com/ADBSQL/AntDB",N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Manticore Search,Search engine,"Search engine,Time Series DBMS",https://db-engines.com/en/system/Manticore+Search,Y,,manticoresoftware/manticoresearch,0.21,342,manticoresoftware,manticoresearch,Manticore Software,2017,2021,Y,GPL version 2,N,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Exorbyte,Search engine,Search engine,https://db-engines.com/en/system/Exorbyte,N,,-,0.21,343,-,-,,2000,,N,,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LedisDB,Key-value,Key-value store,https://db-engines.com/en/system/LedisDB,Y,,ledisdb/ledisdb,0.2,344,ledisdb,ledisdb,,2014,,Y,MIT-License,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BigObject,Relational,Relational DBMS,https://db-engines.com/en/system/BigObject,N,,-,0.2,345,-,-,"BigObject, Inc.",2015,,N,free community edition available,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Blueflood,Time Series,Time Series DBMS,https://db-engines.com/en/system/Blueflood,Y,,rackerlabs/blueflood,0.2,345,rackerlabs,blueflood,Rackspace,2013,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WhiteDB,Document,Document store,https://db-engines.com/en/system/WhiteDB,Y,,priitj/whitedb,0.2,345,priitj,whitedb,,2008,,Y,GPL V3,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Linter,Relational,"Relational DBMS,Spatial DBMS",https://db-engines.com/en/system/Linter,N,,-,0.2,348,-,-,relex.ru/en,1990,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Immudb,Key-value,"Key-value store,Relational DBMS",https://db-engines.com/en/system/Immudb,Y,,codenotary/immudb,0.2,349,codenotary,immudb,Codenotary,2020,2022,Y,Apache Version 2.0,N,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
TerarkDB,Key-value,Key-value store,https://db-engines.com/en/system/TerarkDB,Y_GithubFork,,bytedance/terarkdb,0.2,350,bytedance,terarkdb,Terark,2016,,N,restricted open source version available,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Quasardb,Time Series,Time Series DBMS,https://db-engines.com/en/system/Quasardb,N,,-,0.19,351,-,-,quasardb,2009,2022,N,"Free community edition, Non-profit organizations and non-commercial usage are eligible for free licenses",N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hawkular Metrics,Time Series,Time Series DBMS,https://db-engines.com/en/system/Hawkular+Metrics,Y,,hawkular/hawkular-metrics,0.19,352,hawkular,hawkular-metrics,Community supported by Red Hat,2014,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JethroData,Relational,Relational DBMS,https://db-engines.com/en/system/JethroData,N,,-,0.19,353,-,-,JethroData,2013,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
VelocityDB,Graph,"Graph DBMS,Object oriented DBMS",https://db-engines.com/en/system/VelocityDB,N,,-,0.19,353,-,-,VelocityDB Inc,2011,,N,,N,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
XTDB,Document,Document store,https://db-engines.com/en/system/XTDB,Y,,xtdb/xtdb,0.18,355,xtdb,xtdb,Juxt Ltd.,2019,2021,Y,MIT License,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dragonfly,Key-value,Key-value store,https://db-engines.com/en/system/Dragonfly,,,,0.18,356,,,,2023,,Y,BSL 1.1,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GreptimeDB,Time Series,Time Series DBMS,https://db-engines.com/en/system/GreptimeDB,Y,,GreptimeTeam/greptimedb,0.18,357,GreptimeTeam,GreptimeTeam/greptimedb,Greptime Inc.,2022,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kyoto Tycoon,Key-value,Key-value store,https://db-engines.com/en/system/Kyoto+Tycoon,Y,,AlticeLabsProjects/kyoto,0.18,358,AlticeLabsProjects,kyoto,,2009,,Y,GPL,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ActorDB,Relational,Relational DBMS,https://db-engines.com/en/system/ActorDB,Y,,biokoda/actordb,0.17,359,biokoda,actordb,,2014,,Y,Mozilla Public License 2.0,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OrigoDB,Document,"Document store,Object oriented DBMS",https://db-engines.com/en/system/OrigoDB,Y,,DevrexLabs/OrigoDB,0.17,360,DevrexLabs,OrigoDB,Robert Friberg et al,2009,,Y,,N,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ToroDB,Document,Document store,https://db-engines.com/en/system/ToroDB,Y,,torodb/server,0.17,361,torodb,server,8Kdata,2016,,Y,AGPL-V3,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SenseiDB,Document,Document store,https://db-engines.com/en/system/SenseiDB,Y_archivedas_LinkedInAttic/sensei,N,LinkedInAttic/sensei,0.17,362,LinkedInAttic,sensei,,2010,,Y,Apache Version 2,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SiriDB,Time Series,Time Series DBMS,https://db-engines.com/en/system/SiriDB,Y,,SiriDB/siridb-server,0.17,362,SiriDB,siridb-server,Cesbit,2017,,Y,MIT License,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NosDB,Document,Document store,https://db-engines.com/en/system/NosDB,Y,,Alachisoft/NosDB,0.17,364,Alachisoft,NosDB,Alachisoft,2016,,Y,Professional and Enterprise Versions available,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alibaba Cloud TSDB,Time Series,Time Series DBMS,https://db-engines.com/en/system/Alibaba+Cloud+TSDB,N,,-,0.17,365,-,-,Alibaba,,,N,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Faircom DB,Key-value,"Key-value store,Relational DBMS",https://db-engines.com/en/system/Faircom+DB,N,,-,0.17,366,-,-,FairCom Corporation,1979,2020,N,"Restricted, free version available",N,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Transwarp KunDB,Relational,Relational DBMS,https://db-engines.com/en/system/Transwarp+KunDB,N,,-,0.16,367,-,-,Transwarp,,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Skytable,Key-value,Key-value store,https://db-engines.com/en/system/Skytable,Y,Y,skytable/skytable,0.16,368,skytable,skytable,"Skytable, Inc.",2020,,Y,GNU AGPL 3.0,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
iBoxDB,Document,Document store,https://db-engines.com/en/system/iBoxDB,Y,,iboxdb/ftserver,0.16,369,iboxdb,ftserver,,2013,,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
XtremeData,Relational,Relational DBMS,https://db-engines.com/en/system/XtremeData,N,,-,0.15,370,-,-,,,,N,limited edition free,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TomP2P,Key-value,Key-value store,https://db-engines.com/en/system/TomP2P,Y,,tomp2p/TomP2P,0.15,371,tomp2p,TomP2P,,2004,,Y,Apache Version 2,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
EsgynDB,Relational,Relational DBMS,https://db-engines.com/en/system/EsgynDB,N,,-,0.14,372,-,-,Esgyn,2015,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IBM Db2 Event Store,Event,"Event Store,Time Series DBMS",https://db-engines.com/en/system/IBM+Db2+Event+Store,N,,-,0.13,373,-,-,IBM,2017,,N,free developer edition available,N,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Badger,Key-value,Key-value store,https://db-engines.com/en/system/Badger,Y,,dgraph-io/badger,0.13,374,dgraph-io,badger,DGraph Labs,2017,,Y,Apache 2.0,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fujitsu Enterprise Postgres,Relational,"Relational DBMS,Document store,Spatial DBMS",https://db-engines.com/en/system/Fujitsu+Enterprise+Postgres,N,,-,0.12,375,-,-,"PostgreSQL Global Development Group, Fujitsu Australia Software Technology",,2022,N,,N,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
SiteWhere,Time Series,Time Series DBMS,https://db-engines.com/en/system/SiteWhere,Y,,sitewhere/sitewhere,0.12,376,sitewhere,sitewhere,SiteWhere,2010,,Y,Common Public Attribution License Version 1.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DataFS,Object oriented,"Object oriented DBMS,Graph DBMS",https://db-engines.com/en/system/DataFS,N,,-,0.09,377,-,-,Mobiland AG,2018,2022,N,,N,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
InfinityDB,Key-value,Key-value store,https://db-engines.com/en/system/InfinityDB,N,,-,0.07,378,-,-,Boiler Bay Inc.,2002,,N,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Indica,Search engine,Search engine,https://db-engines.com/en/system/Indica,N,,-,0.07,379,-,-,,2014,,N,parts of it are open source,N,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OushuDB,Relational,Relational DBMS,https://db-engines.com/en/system/OushuDB,N,,-,0.07,380,-,-,Oushu,,2020,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AgensGraph,Graph,"Graph DBMS,Relational DBMS",https://db-engines.com/en/system/AgensGraph,Y,Y,bitnine-oss/agensgraph,0.06,381,bitnine-oss,agensgraph,Bitnine Global Inc.,2016,2018,Y,Apache License 2.0,N,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Warp 10,Time Series,Time Series DBMS,https://db-engines.com/en/system/Warp+10,Y,,senx/warp10-platform,0.03,382,senx,warp10-platform,SenX,2015,,Y,Apache License 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SmallSQL,Relational,Relational DBMS,https://db-engines.com/en/system/SmallSQL,Y,,CptTZ/SmallSQL,0.02,383,CptTZ,SmallSQL,,2005,,Y,L-GPL,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ScaleOut StateServer,Key-value,Key-value store,https://db-engines.com/en/system/ScaleOut+StateServer,N,,-,0.02,384,-,-,,2005,,N,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SparkleDB,RDF,RDF store,https://db-engines.com/en/system/SparkleDB,N,,-,0.02,385,-,-,,2012,,N,,N,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Resin Cache,Key-value,Key-value store,https://db-engines.com/en/system/Resin+Cache,Y,,dlitz/resin,0.01,386,dlitz,resin,,1998,2020,Y,"GPLv3, extended commercial license available",N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SWC-DB,Wide column,"Wide column store,Time Series DBMS",https://db-engines.com/en/system/SWC-DB,Y,,kashirin-alex/swc-db,0.01,387,kashirin-alex,swc-db,Alex Kashirin,2020,2021,Y,GPL V3,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
WakandaDB,Object oriented,Object oriented DBMS,https://db-engines.com/en/system/WakandaDB,N_commercial,Y,-,0.0,388,-,-,Wakanda SAS,2012,2019,Y,"AGPLv3, extended commercial license available",N,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JaguarDB,Key-value,Key-value store,https://db-engines.com/en/system/JaguarDB,Y,Y,datajaguar/jaguardb,0.0,389,datajaguar,jaguardb,"DataJaguar, Inc.",2015,2018,Y,GPL V3.0,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Faircom EDGE,Key-value,"Key-value store,Relational DBMS",https://db-engines.com/en/system/Faircom+EDGE,N,,-,0.0,390,-,-,FairCom Corporation,1979,2020,N,"Restricted, free version available",N,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
SwayDB,Key-value,Key-value store,https://db-engines.com/en/system/SwayDB,Y,,simerplaha/SwayDB,0.0,391,simerplaha,SwayDB,Simer Plaha,2018,,Y,GNU Affero GPL V3.0,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BergDB,Key-value,Key-value store,https://db-engines.com/en/system/BergDB,Y,,bergdb/bergdb,0.0,392,bergdb,bergdb,,2013,,Y,Gnu Affero General Public License (AGPL),N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cachelot.io,Key-value,Key-value store,https://db-engines.com/en/system/Cachelot.io,Y,,cachelot/cachelot,0.0,392,cachelot,cachelot,,2015,,Y,Simplified BSD License,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CortexDB,Document,"Document store,Key-value store",https://db-engines.com/en/system/CortexDB,N,,-,0.0,392,-,-,,2014,,N,,N,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
CovenantSQL,Relational,Relational DBMS,https://db-engines.com/en/system/CovenantSQL,Y,,CovenantSQL/CovenantSQL,0.0,392,CovenantSQL,CovenantSQL,,2018,,Y,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DaggerDB,Relational,Relational DBMS,https://db-engines.com/en/system/DaggerDB,N,,-,0.0,392,-,-,,2014,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
EdgelessDB,Relational,Relational DBMS,https://db-engines.com/en/system/EdgelessDB,Y,,edgelesssys/edgelessdb,0.0,392,edgelesssys,edgelessdb,Edgeless Systems,2021,,Y,GPL V2,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Galaxybase,Graph,Graph DBMS,https://db-engines.com/en/system/Galaxybase,N,,-,0.0,392,-,-,"Chuanglin(Createlink) Technology Co., Ltd 浙江创邻科技有限公司",2017,2021,N,,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Helium,Key-value,Key-value store,https://db-engines.com/en/system/Helium,N,,-,0.0,392,-,-,Levyx Inc.,2013,,N,,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
HGraphDB,Graph,Graph DBMS,https://db-engines.com/en/system/HGraphDB,Y,,rayokota/hgraphdb,0.0,392,rayokota,hgraphdb,,2016,,Y,Apache 2.0,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JasDB,Document,Document store,https://db-engines.com/en/system/JasDB,Y,,oberasoftware/jasdb,0.0,392,oberasoftware,jasdb,,2014,,Y,,N,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
K-DB,Relational,Relational DBMS,https://db-engines.com/en/system/K-DB,N,,-,0.0,392,-,-,Inspur Group,,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Newts,Time Series,Time Series DBMS,https://db-engines.com/en/system/Newts,Y,,OpenNMS/newts,0.0,392,OpenNMS,newts,OpenNMS Group,2014,,Y,Apache 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NSDb,Time Series,Time Series DBMS,https://db-engines.com/en/system/NSDb,Y,,radicalbit/NSDb,0.0,392,radicalbit,NSDb,,2017,,Y,Apache Version 2.0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PieCloudDB,Relational,Relational DBMS,https://db-engines.com/en/system/PieCloudDB,N,,-,0.0,392,-,-,OpenPie,,,N,,Y,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rizhiyi,Search engine,"Search engine,Time Series DBMS",https://db-engines.com/en/system/Rizhiyi,N,,-,0.0,392,-,-,Rizhiyi,2014,,N,,N,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Sadas Engine,Relational,Relational DBMS,https://db-engines.com/en/system/Sadas+Engine,N,,-,0.0,392,-,-,SADAS s.r.l.,2006,,N,free trial version available,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
searchxml,Native XML,"Native XML DBMS,Search engine",https://db-engines.com/en/system/searchxml,N,,-,0.0,392,-,-,informationpartners gmbh,2015,,N,,N,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
SpaceTime,Spatial DBMS,"Spatial DBMS,Relational DBMS",https://db-engines.com/en/system/SpaceTime,N,,-,0.0,392,-,-,Mireo,2020,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Tkrzw,Key-value,Key-value store,https://db-engines.com/en/system/Tkrzw,Y,,estraier/tkrzw,0.0,392,estraier,tkrzw,Mikio Hirabayashi,2020,,Y,Apache Version 2.0,N,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Transwarp ArgoDB,Relational,"Relational DBMS,Search engine",https://db-engines.com/en/system/Transwarp+ArgoDB,N,,-,0.0,392,-,-,Transwarp,,,N,,N,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Transwarp StellarDB,Graph,Graph DBMS,https://db-engines.com/en/system/Transwarp+StellarDB,Y_IssueTracking,,stellardb/StellarDB,0.0,392,stellardb,StellarDB,Transwarp,,,N,,N,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Yaacomo,Relational,Relational DBMS,https://db-engines.com/en/system/Yaacomo,N,,-,0.0,392,-,-,Q2WEB GmbH,2009,,N,,N,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Yanza,Time Series,Time Series DBMS,https://db-engines.com/en/system/Yanza,N,,-,0.0,392,-,-,Yanza,2015,,N,free version available,N,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
